Branch,Category,Jee_Rank,Region,Round
Computer Science and Engineering with specialization in Big Data Analytics,GEN-DEF,-,OD,S
Computer Science and Engineering with specialization in Internet of Things,GEN-DEF,-,OD,S
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN-DEF,813677,OD,S
Computer Science and Engineering with specialization in Big Data Analytics,GENGirlCandidate,28003,D,1
Computer Science and Engineering with specialization in Internet of Things,GENGirlCandidate,33511,D,1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GENGirlCandidate,52806,D,1
Computer Science and Engineering with specialization in Big Data Analytics,GENGirlCandidate,-,OD,1
Computer Science and Engineering with specialization in Internet of Things,GENGirlCandidate,5362,OD,1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GENGirlCandidate,8621,OD,1
Computer Science and Engineering with specialization in Big Data Analytics,GENGirlCandidate,32241,D,2
Computer Science and Engineering with specialization in Internet of Things,GENGirlCandidate,48493,D,2
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GENGirlCandidate,59529,D,2
Computer Science and Engineering with specialization in Big Data Analytics,GENGirlCandidate,-,OD,2
Computer Science and Engineering with specialization in Internet of Things,GENGirlCandidate,8478,OD,2
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GENGirlCandidate,9409,OD,2
Computer Science and Engineering with specialization in Big Data Analytics,GENGirlCandidate,50758,D,3
Computer Science and Engineering with specialization in Internet of Things,GENGirlCandidate,60006,D,3
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GENGirlCandidate,70413,D,3
Computer Science and Engineering with specialization in Big Data Analytics,GENGirlCandidate,-,OD,3
Computer Science and Engineering with specialization in Internet of Things,GENGirlCandidate,11517,OD,3
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GENGirlCandidate,16205,OD,3
Computer Science and Engineering with specialization in Big Data Analytics,GENGirlCandidate,50859,D,4
Computer Science and Engineering with specialization in Internet of Things,GENGirlCandidate,64448,D,4
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GENGirlCandidate,86136,D,4
Computer Science and Engineering with specialization in Big Data Analytics,GENGirlCandidate,-,OD,4
Computer Science and Engineering with specialization in Internet of Things,GENGirlCandidate,16616,OD,4
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GENGirlCandidate,17611,OD,4
Computer Science and Engineering with specialization in Big Data Analytics,GEN-PWD,394091,D,1
Computer Science and Engineering with specialization in Internet of Things,GEN-PWD,395478,D,1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN-PWD,-,D,1
Computer Science and Engineering with specialization in Big Data Analytics,GEN-PWD,50489,OD,1
Computer Science and Engineering with specialization in Internet of Things,GEN-PWD,-,OD,1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN-PWD,-,OD,1
Computer Science and Engineering with specialization in Big Data Analytics,GEN-PWD,394091,D,2
Computer Science and Engineering with specialization in Internet of Things,GEN-PWD,592384,D,2
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN-PWD,-,D,2
Computer Science and Engineering with specialization in Big Data Analytics,GEN-PWD,102583,OD,2
Computer Science and Engineering with specialization in Internet of Things,GEN-PWD,-,OD,2
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN-PWD,-,OD,2
Computer Science and Engineering with specialization in Big Data Analytics,GEN-PWD,394091,D,3
Computer Science and Engineering with specialization in Internet of Things,GEN-PWD,592384,D,3
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN-PWD,-,D,3
Computer Science and Engineering with specialization in Big Data Analytics,GEN-PWD,79682,OD,3
Computer Science and Engineering with specialization in Internet of Things,GEN-PWD,-,OD,3
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN-PWD,-,OD,3
Computer Science and Engineering with specialization in Big Data Analytics,GEN-PWD,394091,D,4
Computer Science and Engineering with specialization in Internet of Things,GEN-PWD,592384,D,4
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN-PWD,-,D,4
Computer Science and Engineering with specialization in Big Data Analytics,GEN-PWD,258066,OD,4
Computer Science and Engineering with specialization in Internet of Things,GEN-PWD,-,OD,4
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN-PWD,-,OD,4
Computer Science and Engineering with specialization in Big Data Analytics,GEN-PWD,394091,D,U1
Computer Science and Engineering with specialization in Internet of Things,GEN-PWD,592384,D,U1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN-PWD,-,D,U1
Computer Science and Engineering with specialization in Big Data Analytics,GEN-PWD,-,OD,U1
Computer Science and Engineering with specialization in Internet of Things,GEN-PWD,-,OD,U1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN-PWD,-,OD,U1
Computer Science and Engineering with specialization in Big Data Analytics,GEN-PWD,394091,D,S
Computer Science and Engineering with specialization in Internet of Things,GEN-PWD,592384,D,S
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN-PWD,-,D,S
Computer Science and Engineering with specialization in Big Data Analytics,GEN-PWD,-,OD,S
Computer Science and Engineering with specialization in Internet of Things,GEN-PWD,-,OD,S
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN-PWD,-,OD,S
Computer Science and Engineering with specialization in Big Data Analytics,EWS,40087,D,1
Computer Science and Engineering with specialization in Internet of Things,EWS,46027,D,1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWS,55268,D,1
Computer Science and Engineering with specialization in Big Data Analytics,EWS,5760,OD,1
Computer Science and Engineering with specialization in Internet of Things,EWS,8390,OD,1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,EWS,8792,OD,1
Computer Science and Engineering with specialization in Big Data Analytics,EWS,46635,D,2
