Branch,Category,Jee_Rank,Region,Round
Civil Engineering,GEN-DEF,186105 (Priority VI),D,5
Geoinformatics,GEN-DEF,174145,D,5
Mechanical Engineering with specialization in Electric Vehicles,GEN-DEF,122422,D,5
Architecture,GEN-DEF,40032,D,5
Civil Engineering,GENGirlCandidate,85918,D,1
Geoinformatics,GENGirlCandidate,88324,D,1
Mechanical Engineering with specialization in Electric Vehicles,GENGirlCandidate,79049,D,1
Civil Engineering,GENGirlCandidate,19449,OD,1
Geoinformatics,GENGirlCandidate,19310,OD,1
Mechanical Engineering with specialization in Electric Vehicles,GENGirlCandidate,19998,OD,1
Civil Engineering,GENGirlCandidate,90049,D,2
Geoinformatics,GENGirlCandidate,93037,D,2
Mechanical Engineering with specialization in Electric Vehicles,GENGirlCandidate,84663,D,2
Civil Engineering,GENGirlCandidate,23888,OD,2
Geoinformatics,GENGirlCandidate,24730,OD,2
Mechanical Engineering with specialization in Electric Vehicles,GENGirlCandidate,21977,OD,2
Civil Engineering,GENGirlCandidate,90049,D,3
Geoinformatics,GENGirlCandidate,93515,D,3
Mechanical Engineering with specialization in Electric Vehicles,GENGirlCandidate,84663,D,3
Civil Engineering,GENGirlCandidate,26102,OD,3
Geoinformatics,GENGirlCandidate,24730,OD,3
Mechanical Engineering with specialization in Electric Vehicles,GENGirlCandidate,24038,OD,3
Civil Engineering,GENGirlCandidate,93037,D,4
Geoinformatics,GENGirlCandidate,95882,D,4
Mechanical Engineering with specialization in Electric Vehicles,GENGirlCandidate,92062,D,4
Civil Engineering,GENGirlCandidate,27450,OD,4
Geoinformatics,GENGirlCandidate,27700,OD,4
Mechanical Engineering with specialization in Electric Vehicles,GENGirlCandidate,26444,OD,4
Civil Engineering,GENGirlCandidate,107535,D,5
Geoinformatics,GENGirlCandidate,109322,D,5
Mechanical Engineering with specialization in Electric Vehicles,GENGirlCandidate,105272,D,5
Civil Engineering,GENGirlCandidate,29809,OD,5
Geoinformatics,GENGirlCandidate,31791,OD,5
Mechanical Engineering with specialization in Electric Vehicles,GENGirlCandidate,28774,OD,5
Civil Engineering,EWS,97593,D,1
Geoinformatics,EWS,102759,D,1
Mechanical Engineering with specialization in Electric Vehicles,EWS,94868,D,1
Architecture,EWS,19540,D,1
Civil Engineering,EWS,19755,OD,1
Mechanical Engineering with specialization in Electric Vehicles,EWS,14698,OD,1
Architecture,EWS,1112,OD,1
Civil Engineering,EWS,120176,D,2
Geoinformatics,EWS,121988,D,2
Mechanical Engineering with specialization in Electric Vehicles,EWS,112023,D,2
Architecture,EWS,25561,D,2
Civil Engineering,EWS,22778,OD,2
Mechanical Engineering with specialization in Electric Vehicles,EWS,19129,OD,2
Architecture,EWS,2680,OD,2
Civil Engineering,EWS,120176,D,3
Geoinformatics,EWS,121988,D,3
Mechanical Engineering with specialization in Electric Vehicles,EWS,112023,D,3
Architecture,EWS,19540,D,3
Civil Engineering,EWS,24231,OD,3
Mechanical Engineering with specialization in Electric Vehicles,EWS,22058,OD,3
Architecture,EWS,2981,OD,3
Civil Engineering,EWS,121112,D,4
Geoinformatics,EWS,135503,D,4
Mechanical Engineering with specialization in Electric Vehicles,EWS,115619,D,4
Architecture,EWS,24413,D,4
Civil Engineering,EWS,25193,OD,4
Mechanical Engineering with specialization in Electric Vehicles,EWS,24861,OD,4
Architecture,EWS,3854,OD,4
Civil Engineering,EWS,141101,D,5
Geoinformatics,EWS,155140,D,5
Mechanical Engineering with specialization in Electric Vehicles,EWS,121112,D,5
Architecture,EWS,24413,D,5
Civil Engineering,EWS,26636,OD,5
Mechanical Engineering with specialization in Electric Vehicles,EWS,26567,OD,5
Architecture,EWS,3893,OD,5
Civil Engineering,EWS,187045,D,S
Geoinformatics,EWS,148769,D,S
Mechanical Engineering with specialization in Electric Vehicles,EWS,173782,D,S
Civil Engineering,EWS,49414,OD,S
Mechanical Engineering with specialization in Electric Vehicles,EWS,43794,OD,S
Civil Engineering,EWS,187045,D,s2
Geoinformatics,EWS,148769,D,s2
Mechanical Engineering with specialization in Electric Vehicles,EWS,173782,D,s2
Civil Engineering,EWS,49414,OD,s2
Mechanical Engineering with specialization in Electric Vehicles,EWS,43794,OD,s2
Civil Engineering,SpotRound-1,187045,D,s2
Geoinformatics,SpotRound-1,148769,D,s2
Mechanical Engineering with specialization in Electric Vehicles,SpotRound-1,173782,D,s2
Civil Engineering,SpotRound-1,49414,OD,s2
Mechanical Engineering with specialization in Electric Vehicles,SpotRound-1,43794,OD,s2
Civil Engineering,SpotRound-2,187045,D,s2
Geoinformatics,SpotRound-2,148769,D,s2
Mechanical Engineering with specialization in Electric Vehicles,SpotRound-2,173782,D,s2
Civil Engineering,SpotRound-2,49414,OD,s2
Mechanical Engineering with specialization in Electric Vehicles,SpotRound-2,43794,OD,s2
Civil Engineering,EWSGirlCandidate,148571,D,1
Geoinformatics,EWSGirlCandidate,123637,D,1
Mechanical Engineering with specialization in Electric Vehicles,EWSGirlCandidate,127748,D,1
Civil Engineering,EWSGirlCandidate,23736,OD,1
Civil Engineering,EWSGirlCandidate,165570,D,2
Geoinformatics,EWSGirlCandidate,169347,D,2
Mechanical Engineering with specialization in Electric Vehicles,EWSGirlCandidate,160614,D,2
Civil Engineering,EWSGirlCandidate,40677,OD,2
Civil Engineering,EWSGirlCandidate,165570,D,3
Geoinformatics,EWSGirlCandidate,172200,D,3
Mechanical Engineering with specialization in Electric Vehicles,EWSGirlCandidate,150195,D,3
Civil Engineering,EWSGirlCandidate,42697,OD,3
Civil Engineering,EWSGirlCandidate,165570,D,4
Geoinformatics,EWSGirlCandidate,174874,D,4
Mechanical Engineering with specialization in Electric Vehicles,EWSGirlCandidate,162043,D,4
Civil Engineering,EWSGirlCandidate,45679,OD,4
Civil Engineering,EWSGirlCandidate,183548,D,5
Geoinformatics,EWSGirlCandidate,189270,D,5
Mechanical Engineering with specialization in Electric Vehicles,EWSGirlCandidate,165570,D,5
Civil Engineering,EWSGirlCandidate,45875,OD,5
Civil Engineering,OBC,192031,D,1
Geoinformatics,OBC,202253,D,1
Mechanical Engineering with specialization in Electric Vehicles,OBC,160254,D,1
Architecture,OBC,14330,D,1
Civil Engineering,OBC,26817,OD,1
Geoinformatics,OBC,28325,OD,1
Mechanical Engineering with specialization in Electric Vehicles,OBC,22565,OD,1
Architecture,OBC,801,OD,1
Civil Engineering,OBC,219581,D,2
