Branch,Category,Jee_Rank,Region,Round
Computer Science and Applied         Mathematics,General,928 (10231),A) Delhi         Region,Round 1
Computer Science and         Artificial Intelligence,General,196 (3975),A) Delhi         Region,Round 1
Computer Science and         Biosciences,General,1898         (17670),A) Delhi         Region,Round 1
Computer Science and Design,General,1220         (12527),A) Delhi         Region,Round 1
Computer Science and         Engineering,General,484 (6615),A) Delhi         Region,Round 1
Computer Science and Social         Sciences,General,1653         (15908),A) Delhi         Region,Round 1
Electronics and         Communication Engineering,General,2127         (19404),A) Delhi         Region,Round 1
Electronics and VLSI         Engineering,General,2564         (22477),A) Delhi         Region,Round 1
Computer Science and Applied         Mathematics,General,163 (3588),B) Outside         Delhi Region,Round 1
Computer Science and         Artificial Intelligence,General,84 (2352),B) Outside         Delhi Region,Round 1
Computer Science and         Biosciences,General,379 (5700),B) Outside         Delhi Region,Round 1
Computer Science and Design,General,219 (4201),B) Outside         Delhi Region,Round 1
Computer Science and         Engineering,General,26 (1223),B) Outside         Delhi Region,Round 1
Computer Science and Social         Sciences,General,333 (5333),B) Outside         Delhi Region,Round 1
Electronics and         Communication Engineering,General,418 (6109),B) Outside         Delhi Region,Round 1
Electronics and VLSI         Engineering,General,590 (7512),B) Outside         Delhi Region,Round 1
Computer Science and Applied         Mathematics,General,1426         (14076),A) Delhi         Region,Round 2
Computer Science and         Artificial Intelligence,General,603 (7558),A) Delhi         Region,Round 2
Computer Science and         Biosciences,General,2282         (20492),A) Delhi         Region,Round 2
Computer Science and Design,General,1700         (16348),A) Delhi         Region,Round 2
Computer Science and         Engineering,General,901 (9984),A) Delhi         Region,Round 2
Computer Science and Social         Sciences,General,2074         (18976),A) Delhi         Region,Round 2
Electronics and         Communication Engineering,General,2611         (22818),A) Delhi         Region,Round 2
Electronics and VLSI         Engineering,General,3068         (26197),A) Delhi         Region,Round 2
Computer Science and Applied         Mathematics,General,318 (5202),B) Outside         Delhi Region,Round 2
Computer Science and         Artificial Intelligence,General,219 (4201),B) Outside         Delhi Region,Round 2
Computer Science and         Biosciences,General,556 (7231),B) Outside         Delhi Region,Round 2
Computer Science and Design,General,418 (6109),B) Outside         Delhi Region,Round 2
Computer Science and         Engineering,General,131 (3015),B) Outside         Delhi Region,Round 2
Computer Science and Social         Sciences,General,467 (6518),B) Outside         Delhi Region,Round 2
Electronics and         Communication Engineering,General,544 (7133),B) Outside         Delhi Region,Round 2
Electronics and VLSI         Engineering,General,637 (7890),B) Outside         Delhi Region,Round 2
Computer Science and Applied         Mathematics,General,1426         (14076),A) Delhi         Region,Round 3
Computer Science and         Artificial Intelligence,General,603 (7558),A) Delhi         Region,Round 3
Computer Science and         Biosciences,General,2282         (20492),A) Delhi         Region,Round 3
Computer Science and Design,General,1709         (16444),A) Delhi         Region,Round 3
Computer Science and         Engineering,General,901 (9984),A) Delhi         Region,Round 3
Computer Science and Social         Sciences,General,2183         (19809),A) Delhi         Region,Round 3
Electronics and         Communication Engineering,General,2622         (22886),A) Delhi         Region,Round 3
Electronics and VLSI         Engineering,General,3068         (26197),A) Delhi         Region,Round 3
Computer Science and Applied         Mathematics,General,336 (5385),B) Outside         Delhi Region,Round 3
Computer Science and         Artificial Intelligence,General,279 (4778),B) Outside         Delhi Region,Round 3
Computer Science and         Biosciences,General,650 (7975),B) Outside         Delhi Region,Round 3
Computer Science and Design,General,497 (6695),B) Outside         Delhi Region,Round 3
Computer Science and         Engineering,General,219 (4201),B) Outside         Delhi Region,Round 3
Computer Science and Social         Sciences,General,677 (8168),B) Outside         Delhi Region,Round 3
Electronics and         Communication Engineering,General,675 (8164),B) Outside         Delhi Region,Round 3
Electronics and VLSI         Engineering,General,811 (9323),B) Outside         Delhi Region,Round 3
Computer Science and Applied         Mathematics,General,1449         (14246),A) Delhi         Region,Round 4
Computer Science and         Artificial Intelligence,General,603 (7558),A) Delhi         Region,Round 4
Computer Science and         Biosciences,General,2431         (21559),A) Delhi         Region,Round 4
Computer Science and Design,General,1725         (16524),A) Delhi         Region,Round 4
Computer Science and         Engineering,General,901 (9984),A) Delhi         Region,Round 4
Computer Science and Social         Sciences,General,2285         (20507),A) Delhi         Region,Round 4
Electronics and         Communication Engineering,General,2664         (23258),A) Delhi         Region,Round 4
Electronics and VLSI         Engineering,General,3096         (26442),A) Delhi         Region,Round 4
Computer Science and Applied         Mathematics,General,415 (6078),B) Outside         Delhi Region,Round 4
Computer Science and         Artificial Intelligence,General,279 (4778),B) Outside         Delhi Region,Round 4
Computer Science and         Biosciences,General,739 (8645),B) Outside         Delhi Region,Round 4
Computer Science and Design,General,497 (6695),B) Outside         Delhi Region,Round 4
Computer Science and         Engineering,General,219 (4201),B) Outside         Delhi Region,Round 4
Computer Science and Social         Sciences,General,856 (9672),B) Outside         Delhi Region,Round 4
Electronics and         Communication Engineering,General,759 (8872),B) Outside         Delhi Region,Round 4
Electronics and VLSI         Engineering,General,889 (9911),B) Outside         Delhi Region,Round 4
Computer Science and Applied         Mathematics,General,2002         (18442),A) Delhi         Region,Round 5
Computer Science and         Artificial Intelligence,General,764 (8952),A) Delhi         Region,Round 5
Computer Science and         Biosciences,General,3257         (28006),A) Delhi         Region,Round 5
Computer Science and Design,General,2228         (20091),A) Delhi         Region,Round 5
Computer Science and         Engineering,General,1229         (12595),A) Delhi         Region,Round 5
Computer Science and Social         Sciences,General,2977         (25587),A) Delhi         Region,Round 5
Electronics and         Communication Engineering,General,3323         (28529),A) Delhi         Region,Round 5
Electronics and VLSI         Engineering,General,3843         (32814),A) Delhi         Region,Round 5
Computer Science and Applied         Mathematics,General,808 (9301),B) Outside         Delhi Region,Round 5
Computer Science and         Artificial Intelligence,General,632 (7865),B) Outside         Delhi Region,Round 5
Computer Science and         Biosciences,General,920 (10174),B) Outside         Delhi Region,Round 5
Computer Science and Design,General,877 (9847),B) Outside         Delhi Region,Round 5
Computer Science and         Engineering,General,497 (6695),B) Outside         Delhi Region,Round 5
Computer Science and Social         Sciences,General,898 (9975),B) Outside         Delhi Region,Round 5
