Branch,Category,Jee_Rank,Region,Round
Computer Science and Applied Mathematics,GEN,928 (10231),D,1
Computer Science and Artificial Intelligence,GEN,196 (3975),D,1
Computer Science and Biosciences,GEN,1898 (17670),D,1
Computer Science and Design,GEN,1220 (12527),D,1
Computer Science and Engineering,GEN,484 (6615),D,1
Computer Science and Social Sciences,GEN,1653 (15908),D,1
Electronics and Communication Engineering,GEN,2127 (19404),D,1
Electronics and VLSI Engineering,GEN,2564 (22477),D,1
Computer Science and Applied Mathematics,GEN,163 (3588),OD,1
Computer Science and Artificial Intelligence,GEN,84 (2352),OD,1
Computer Science and Biosciences,GEN,379 (5700),OD,1
Computer Science and Design,GEN,219 (4201),OD,1
Computer Science and Engineering,GEN,26 (1223),OD,1
Computer Science and Social Sciences,GEN,333 (5333),OD,1
Electronics and Communication Engineering,GEN,418 (6109),OD,1
Electronics and VLSI Engineering,GEN,590 (7512),OD,1
Computer Science and Applied Mathematics,GEN,1426 (14076),D,2
Computer Science and Artificial Intelligence,GEN,603 (7558),D,2
Computer Science and Biosciences,GEN,2282 (20492),D,2
Computer Science and Design,GEN,1700 (16348),D,2
Computer Science and Engineering,GEN,901 (9984),D,2
Computer Science and Social Sciences,GEN,2074 (18976),D,2
Electronics and Communication Engineering,GEN,2611 (22818),D,2
Electronics and VLSI Engineering,GEN,3068 (26197),D,2
Computer Science and Applied Mathematics,GEN,318 (5202),OD,2
Computer Science and Artificial Intelligence,GEN,219 (4201),OD,2
Computer Science and Biosciences,GEN,556 (7231),OD,2
Computer Science and Design,GEN,418 (6109),OD,2
Computer Science and Engineering,GEN,131 (3015),OD,2
Computer Science and Social Sciences,GEN,467 (6518),OD,2
Electronics and Communication Engineering,GEN,544 (7133),OD,2
Electronics and VLSI Engineering,GEN,637 (7890),OD,2
Computer Science and Applied Mathematics,GEN,1426 (14076),D,3
Computer Science and Artificial Intelligence,GEN,603 (7558),D,3
Computer Science and Biosciences,GEN,2282 (20492),D,3
Computer Science and Design,GEN,1709 (16444),D,3
Computer Science and Engineering,GEN,901 (9984),D,3
Computer Science and Social Sciences,GEN,2183 (19809),D,3
Electronics and Communication Engineering,GEN,2622 (22886),D,3
Electronics and VLSI Engineering,GEN,3068 (26197),D,3
Computer Science and Applied Mathematics,GEN,336 (5385),OD,3
Computer Science and Artificial Intelligence,GEN,279 (4778),OD,3
Computer Science and Biosciences,GEN,650 (7975),OD,3
Computer Science and Design,GEN,497 (6695),OD,3
Computer Science and Engineering,GEN,219 (4201),OD,3
Computer Science and Social Sciences,GEN,677 (8168),OD,3
Electronics and Communication Engineering,GEN,675 (8164),OD,3
Electronics and VLSI Engineering,GEN,811 (9323),OD,3
Computer Science and Applied Mathematics,GEN,1449 (14246),D,4
Computer Science and Artificial Intelligence,GEN,603 (7558),D,4
Computer Science and Biosciences,GEN,2431 (21559),D,4
Computer Science and Design,GEN,1725 (16524),D,4
Computer Science and Engineering,GEN,901 (9984),D,4
Computer Science and Social Sciences,GEN,2285 (20507),D,4
Electronics and Communication Engineering,GEN,2664 (23258),D,4
Electronics and VLSI Engineering,GEN,3096 (26442),D,4
Computer Science and Applied Mathematics,GEN,415 (6078),OD,4
Computer Science and Artificial Intelligence,GEN,279 (4778),OD,4
Computer Science and Biosciences,GEN,739 (8645),OD,4
Computer Science and Design,GEN,497 (6695),OD,4
Computer Science and Engineering,GEN,219 (4201),OD,4
Computer Science and Social Sciences,GEN,856 (9672),OD,4
Electronics and Communication Engineering,GEN,759 (8872),OD,4
Electronics and VLSI Engineering,GEN,889 (9911),OD,4
Computer Science and Applied Mathematics,GEN,2002 (18442),D,5
Computer Science and Artificial Intelligence,GEN,764 (8952),D,5
Computer Science and Biosciences,GEN,3257 (28006),D,5
Computer Science and Design,GEN,2228 (20091),D,5
Computer Science and Engineering,GEN,1229 (12595),D,5
Computer Science and Social Sciences,GEN,2977 (25587),D,5
Electronics and Communication Engineering,GEN,3323 (28529),D,5
Electronics and VLSI Engineering,GEN,3843 (32814),D,5
Computer Science and Applied Mathematics,GEN,808 (9301),OD,5
Computer Science and Artificial Intelligence,GEN,632 (7865),OD,5
Computer Science and Biosciences,GEN,920 (10174),OD,5
Computer Science and Design,GEN,877 (9847),OD,5
Computer Science and Engineering,GEN,497 (6695),OD,5
Computer Science and Social Sciences,GEN,898 (9975),OD,5
Electronics and Communication Engineering,GEN,963 (10559),OD,5
Electronics and VLSI Engineering,GEN,1026 (11064),OD,5
Computer Science and Applied Mathematics,GEN,2007,D,U1
Computer Science and Artificial Intelligence,GEN,827,D,U1
Computer Science and Biosciences,GEN,3294,D,U1
Computer Science and Design,GEN,2238,D,U1
Computer Science and Engineering,GEN,1230,D,U1
Computer Science and Social Sciences,GEN,3050,D,U1
Electronics and Communication Engineering,GEN,3343,D,U1
Electronics and VLSI Engineering,GEN,3897,D,U1
Computer Science and Applied Mathematics,GEN,878,OD,U1
Computer Science and Artificial Intelligence,GEN,750,OD,U1
Computer Science and Biosciences,GEN,1707,OD,U1
Computer Science and Design,GEN,1117,OD,U1
Computer Science and Engineering,GEN,505,OD,U1
Computer Science and Social Sciences,GEN,1321,OD,U1
Electronics and Communication Engineering,GEN,2042,OD,U1
Electronics and VLSI Engineering,GEN,2430,OD,U1
Computer Science and Applied Mathematics,GEN,2007,D,S
Computer Science and Artificial Intelligence,GEN,827,D,S
Computer Science and Biosciences,GEN,3294,D,S
Computer Science and Design,GEN,2238,D,S
Computer Science and Engineering,GEN,1230,D,S
Computer Science and Social Sciences,GEN,3050,D,S
Electronics and Communication Engineering,GEN,3343,D,S
Electronics and VLSI Engineering,GEN,3897,D,S
Computer Science and Applied Mathematics,GEN,878,OD,S
Computer Science and Artificial Intelligence,GEN,750,OD,S
Computer Science and Biosciences,GEN,1707,OD,S
Computer Science and Design,GEN,1117,OD,S
Computer Science and Engineering,GEN,505,OD,S
Computer Science and Social Sciences,GEN,1321,OD,S
Electronics and Communication Engineering,GEN,2042,OD,S
Electronics and VLSI Engineering,GEN,2430,OD,S
Computer Science and Artificial Intelligence,GEN,1 (18048),D,1
Computer Science and Engineering,GEN,349 (21112),D,1
Electronics and VLSI Engineering,GEN,2237 (35522),D,1
Computer Science and Engineering,GEN,9 (15240),OD,1
Computer Science and Artificial Intelligence,GEN,349 (21112),D,2
Computer Science and Biosciences,GEN,2237 (35522),D,2
Computer Science and Engineering,GEN,266 (20423),D,2
Electronics and VLSI Engineering,GEN,2795 (39589),D,2
Computer Science and Engineering,GEN,104 (18496),OD,2
Computer Science and Artificial Intelligence,GEN,349 (21112),D,3
Computer Science and Biosciences,GEN,2237 (35522),D,3
Computer Science and Engineering,GEN,266 (20423),D,3
Electronics and VLSI Engineering,GEN,2795 (39589),D,3
Computer Science and Engineering,GEN,104 (18496),OD,3
Computer Science and Artificial Intelligence,GEN,349 (21112),D,4
Computer Science and Biosciences,GEN,2237 (35522),D,4
Computer Science and Engineering,GEN,266 (20423),D,4
Electronics and VLSI Engineering,GEN,2795 (39589),D,4
Computer Science and Engineering,GEN,104 (18496),OD,4
Computer Science and Artificial Intelligence,GEN,349 (21112),D,5
Computer Science and Biosciences,GEN,2795 (39589),D,5
Computer Science and Design,GEN,2237 (35522),D,5
Electronics and VLSI Engineering,GEN,3411 (44344),D,5
Computer Science and Engineering,GEN,104 (18496),OD,5
Computer Science and Applied Mathematics,GEN-DEF,961 (10544 (Priority VI)),D,1
Computer Science and Artificial Intelligence,GEN-DEF,21633 (310232 (Priority V)),D,1
Computer Science and Biosciences,GEN-DEF,2534 (22262 (Priority VI)),D,1
Computer Science and Design,GEN-DEF,2174 (19736 (Priority VI)),D,1
Computer Science and Engineering,GEN-DEF,17854 (199515 (Priority V)),D,1
Computer Science and Social Sciences,GEN-DEF,3052 (26079 (Priority VI)),D,1
Electronics and Communication Engineering,GEN-DEF,3634 (30877 (Priority VI)),D,1
Electronics and VLSI Engineering,GEN-DEF,5257 (44693 (Priority VI)),D,1
Computer Science and Applied Mathematics,GEN-DEF,1449 (14246 (Priority VI)),D,2
Computer Science and Artificial Intelligence,GEN-DEF,21633 (310232 (Priority V)),D,2
Computer Science and Biosciences,GEN-DEF,5643 (48262 (Priority V)),D,2
Computer Science and Design,GEN-DEF,2174 (19736 (Priority VI)),D,2
Computer Science and Engineering,GEN-DEF,17854 (199515 (Priority V)),D,2
Computer Science and Social Sciences,GEN-DEF,5257 (44693 (Priority VI)),D,2
Electronics and Communication Engineering,GEN-DEF,3634 (30877 (Priority VI)),D,2
Electronics and VLSI Engineering,GEN-DEF,5686 (48549 (Priority VI)),D,2
