Branch,Category,Jee_Rank,Region,Round
Bio-Technology,GEN,57223,D,1
Computer Science and Engineering,GEN,7050,D,1
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,4378,D,1
Computer Science and Engineering with specialization in Data Science,GEN,8677,D,1
Electrical Engineering,GEN,28512,D,1
Electronics and Communication Engineering,GEN,21184,D,1
Electronics Engineering with specialization in VLSI Design and Technology,GEN,22617,D,1
Information Technology,GEN,12421,D,1
Information Technology with specialization in Network and Information Security,GEN,14907,D,1
Instrumentation and Control Engineering,GEN,34237,D,1
Mathematics and Computing,GEN,16753,D,1
Mechanical Engineering,GEN,40984,D,1
Bio-Technology,GEN,18334,OD,1
Computer Science and Engineering,GEN,2818,OD,1
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,2473,OD,1
Computer Science and Engineering with specialization in Data Science,GEN,3534,OD,1
Electrical Engineering,GEN,8547,OD,1
Electronics and Communication Engineering,GEN,6350,OD,1
Electronics Engineering with specialization in VLSI Design and Technology,GEN,7525,OD,1
Information Technology,GEN,4288,OD,1
Information Technology with specialization in Network and Information Security,GEN,4914,OD,1
Instrumentation and Control Engineering,GEN,10142,OD,1
Mathematics and Computing,GEN,5202,OD,1
Mechanical Engineering,GEN,12205,OD,1
Bio-Technology,GEN,61744,D,2
Computer Science and Engineering,GEN,9514,D,2
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,6612,D,2
Computer Science and Engineering with specialization in Data Science,GEN,12202,D,2
Electrical Engineering,GEN,33297,D,2
Electronics and Communication Engineering,GEN,24457,D,2
Electronics Engineering with specialization in VLSI Design and Technology,GEN,25769,D,2
Information Technology,GEN,16098,D,2
Information Technology with specialization in Network and Information Security,GEN,18878,D,2
Instrumentation and Control Engineering,GEN,37900,D,2
Mathematics and Computing,GEN,19943,D,2
Mechanical Engineering,GEN,46516,D,2
Bio-Technology,GEN,20651,OD,2
Computer Science and Engineering,GEN,5104,OD,2
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,4787,OD,2
Computer Science and Engineering with specialization in Data Science,GEN,5333,OD,2
Electrical Engineering,GEN,10763,OD,2
Electronics and Communication Engineering,GEN,8478,OD,2
Electronics Engineering with specialization in VLSI Design and Technology,GEN,9149,OD,2
Information Technology,GEN,5535,OD,2
Information Technology with specialization in Network and Information Security,GEN,6674,OD,2
Instrumentation and Control Engineering,GEN,11958,OD,2
Mathematics and Computing,GEN,6734,OD,2
Mechanical Engineering,GEN,16432,OD,2
Bio-Technology,GEN,63744,D,3
Computer Science and Engineering,GEN,9514,D,3
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,6612,D,3
Computer Science and Engineering with specialization in Data Science,GEN,12202,D,3
Electrical Engineering,GEN,33297,D,3
