Branch,Category,Jee_Rank,Region,Round
Artificial Intelligence and Machine Learning,General,54991,A) Delhi Region,Round 1
Computer Science and Engineering,General,43373,A) Delhi Region,Round 1
Computer Science and Engineering with specialization in Artificial Intelligence,General,38241,A) Delhi Region,Round 1
Electronics and Communication Engineering,General,67411,A) Delhi Region,Round 1
Electronics and Communication Engineering with specialization in Artificial Intelligence,General,64299,A) Delhi Region,Round 1
Information Technology,General,49735,A) Delhi Region,Round 1
Mechanical and Automation Engineering,General,83718,A) Delhi Region,Round 1
Architecture,General,1750,A) Delhi Region,Round 1
B.Tech Mechanical and Automation Engineering + MBA,General,88318,A) Delhi Region,Round 1
Artificial Intelligence and Machine Learning,General,14468,B) Outside Delhi Region,Round 1
Computer Science and Engineering,General,10672,B) Outside Delhi Region,Round 1
Computer Science and Engineering with specialization in Artificial Intelligence,General,12565,B) Outside Delhi Region,Round 1
Electronics and Communication Engineering,General,15166,B) Outside Delhi Region,Round 1
Electronics and Communication Engineering with specialization in Artificial Intelligence,General,17427,B) Outside Delhi Region,Round 1
Information Technology,General,14551,B) Outside Delhi Region,Round 1
Mechanical and Automation Engineering,General,20933,B) Outside Delhi Region,Round 1
Architecture,General,695,B) Outside Delhi Region,Round 1
B.Tech Mechanical and Automation Engineering + MBA,General,21967,B) Outside Delhi Region,Round 1
Artificial Intelligence and Machine Learning,General,61499,A) Delhi Region,Round 2
Computer Science and Engineering,General,49691,A) Delhi Region,Round 2
Computer Science and Engineering with specialization in Artificial Intelligence,General,42183,A) Delhi Region,Round 2
Electronics and Communication Engineering,General,75464,A) Delhi Region,Round 2
Electronics and Communication Engineering with specialization in Artificial Intelligence,General,72485,A) Delhi Region,Round 2
Information Technology,General,58413,A) Delhi Region,Round 2
Mechanical and Automation Engineering,General,88728,A) Delhi Region,Round 2
Architecture,General,2850,A) Delhi Region,Round 2
B.Tech Mechanical and Automation Engineering + MBA,General,93113,A) Delhi Region,Round 2
Artificial Intelligence and Machine Learning,General,18488,B) Outside Delhi Region,Round 2
Computer Science and Engineering,General,15821,B) Outside Delhi Region,Round 2
Computer Science and Engineering with specialization in Artificial Intelligence,General,17370,B) Outside Delhi Region,Round 2
Electronics and Communication Engineering,General,19843,B) Outside Delhi Region,Round 2
Electronics and Communication Engineering with specialization in Artificial Intelligence,General,20211,B) Outside Delhi Region,Round 2
Information Technology,General,18312,B) Outside Delhi Region,Round 2
Mechanical and Automation Engineering,General,23458,B) Outside Delhi Region,Round 2
Architecture,General,931,B) Outside Delhi Region,Round 2
B.Tech Mechanical and Automation Engineering + MBA,General,25934,B) Outside Delhi Region,Round 2
Artificial Intelligence and Machine Learning,General,61499,A) Delhi Region,Round 3
Computer Science and Engineering,General,49691,A) Delhi Region,Round 3
Computer Science and Engineering with specialization in Artificial Intelligence,General,42183,A) Delhi Region,Round 3
Electronics and Communication Engineering,General,75857,A) Delhi Region,Round 3
Electronics and Communication Engineering with specialization in Artificial Intelligence,General,72485,A) Delhi Region,Round 3
Information Technology,General,58413,A) Delhi Region,Round 3
Mechanical and Automation Engineering,General,89132,A) Delhi Region,Round 3
