Branch,Category,Jee_Rank,Region,Round
Computer Science and Engineering with specialization in Big Data Analytics,GEN,19839,D,1
Computer Science and Engineering with specialization in Internet of Things,GEN,24383,D,1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN,30083,D,1
Computer Science and Engineering with specialization in Big Data Analytics,GEN,4583,OD,1
Computer Science and Engineering with specialization in Internet of Things,GEN,6208,OD,1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN,7754,OD,1
Computer Science and Engineering with specialization in Big Data Analytics,GEN,27460,D,2
Computer Science and Engineering with specialization in Internet of Things,GEN,30504,D,2
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN,36420,D,2
Computer Science and Engineering with specialization in Big Data Analytics,GEN,6286,OD,2
Computer Science and Engineering with specialization in Internet of Things,GEN,7702,OD,2
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN,9506,OD,2
Computer Science and Engineering with specialization in Big Data Analytics,GEN,27460,D,3
Computer Science and Engineering with specialization in Internet of Things,GEN,30740,D,3
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN,36980,D,3
Computer Science and Engineering with specialization in Big Data Analytics,GEN,8142,OD,3
Computer Science and Engineering with specialization in Internet of Things,GEN,9937,OD,3
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN,10414,OD,3
Computer Science and Engineering with specialization in Big Data Analytics,GEN,27936,D,4
Computer Science and Engineering with specialization in Internet of Things,GEN,31034,D,4
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN,37912,D,4
Computer Science and Engineering with specialization in Big Data Analytics,GEN,9207,OD,4
Computer Science and Engineering with specialization in Internet of Things,GEN,10628,OD,4
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN,11656,OD,4
Computer Science and Engineering with specialization in Big Data Analytics,GEN,35335,D,5
Computer Science and Engineering with specialization in Internet of Things,GEN,39235,D,5
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN,47145,D,5
Computer Science and Engineering with specialization in Big Data Analytics,GEN,11227,OD,5
