Branch,Category,Jee_Rank,Region,Round
Computer Science and Applied Mathematics,General,1071 (9195),A) Delhi Region,Round 1
Computer Science and Artificial Intelligence,General,336 (4137),A) Delhi Region,Round 1
Computer Science and Biosciences,General,2187 (16197),A) Delhi Region,Round 1
Computer Science and Design,General,1320 (10826),A) Delhi Region,Round 1
Computer Science and Engineering,General,559 (5930),A) Delhi Region,Round 1
Computer Science and Social Sciences,General,1764 (13630),A) Delhi Region,Round 1
Electronics and Communication Engineering,General,2460 (17948),A) Delhi Region,Round 1
Electronics and VLSI Engineering,General,2889 (20625),A) Delhi Region,Round 1
Computer Science and Applied Mathematics,General,-,B) Outside Delhi Region,Round 1
Computer Science and Artificial Intelligence,General,-,B) Outside Delhi Region,Round 1
Computer Science and Biosciences,General,378 (4570),B) Outside Delhi Region,Round 1
Computer Science and Design,General,54 (962),B) Outside Delhi Region,Round 1
Computer Science and Engineering,General,-,B) Outside Delhi Region,Round 1
Computer Science and Social Sciences,General,169 (2694),B) Outside Delhi Region,Round 1
Electronics and Communication Engineering,General,243 (3370),B) Outside Delhi Region,Round 1
Electronics and VLSI Engineering,General,420 (4875),B) Outside Delhi Region,Round 1
Computer Science and Applied Mathematics,General,1412 (11437),A) Delhi Region,Round 2
Computer Science and Artificial Intelligence,General,611 (6352),A) Delhi Region,Round 2
Computer Science and Biosciences,General,2653 (19179),A) Delhi Region,Round 2
Computer Science and Design,General,1777 (13718),A) Delhi Region,Round 2
Computer Science and Engineering,General,907 (8075),A) Delhi Region,Round 2
Computer Science and Social Sciences,General,2405 (17563),A) Delhi Region,Round 2
Electronics and Communication Engineering,General,3259 (22859),A) Delhi Region,Round 2
Electronics and VLSI Engineering,General,3572 (24625),A) Delhi Region,Round 2
Computer Science and Applied Mathematics,General,79 (1533),B) Outside Delhi Region,Round 2
Computer Science and Artificial Intelligence,General,-,B) Outside Delhi Region,Round 2
Computer Science and Biosciences,General,585 (6184),B) Outside Delhi Region,Round 2
Computer Science and Design,General,387 (4674),B) Outside Delhi Region,Round 2
Computer Science and Engineering,General,-,B) Outside Delhi Region,Round 2
Computer Science and Social Sciences,General,409 (4802),B) Outside Delhi Region,Round 2
Electronics and Communication Engineering,General,593 (6249),B) Outside Delhi Region,Round 2
Electronics and VLSI Engineering,General,755 (7231),B) Outside Delhi Region,Round 2
Computer Science and Applied Mathematics,General,1428 (11437),A) Delhi Region,Round 3
Computer Science and Artificial Intelligence,General,617 (6352),A) Delhi Region,Round 3
Computer Science and Biosciences,General,2702 (19179),A) Delhi Region,Round 3
Computer Science and Design,General,1802 (13718),A) Delhi Region,Round 3
Computer Science and Engineering,General,915 (8075),A) Delhi Region,Round 3
Computer Science and Social Sciences,General,2410 (17356),A) Delhi Region,Round 3
Electronics and Communication Engineering,General,3331 (22859),A) Delhi Region,Round 3
Electronics and VLSI Engineering,General,3699 (24888),A) Delhi Region,Round 3
Computer Science and Applied Mathematics,General,82 (1533),B) Outside Delhi Region,Round 3
Computer Science and Artificial Intelligence,General,-,B) Outside Delhi Region,Round 3
Computer Science and Biosciences,General,629 (6416),B) Outside Delhi Region,Round 3
Computer Science and Design,General,392 (4674),B) Outside Delhi Region,Round 3
Computer Science and Engineering,General,-,B) Outside Delhi Region,Round 3
Computer Science and Social Sciences,General,598 (6244),B) Outside Delhi Region,Round 3
Electronics and Communication Engineering,General,786 (7364),B) Outside Delhi Region,Round 3
Electronics and VLSI Engineering,General,899 (8002),B) Outside Delhi Region,Round 3
Computer Science and Applied Mathematics,General,1525 (12066),A) Delhi Region,Round 4
Computer Science and Artificial Intelligence,General,717 (6966),A) Delhi Region,Round 4
Computer Science and Biosciences,General,2794 (19746),A) Delhi Region,Round 4
Computer Science and Design,General,1819 (13825),A) Delhi Region,Round 4
Computer Science and Engineering,General,962 (8366),A) Delhi Region,Round 4
Computer Science and Social Sciences,General,2607 (18616),A) Delhi Region,Round 4
Electronics and Communication Engineering,General,3381 (23152),A) Delhi Region,Round 4
Electronics and VLSI Engineering,General,3801 (25596),A) Delhi Region,Round 4
Computer Science and Applied Mathematics,General,82 (1533),B) Outside Delhi Region,Round 4
Computer Science and Artificial Intelligence,General,-,B) Outside Delhi Region,Round 4
Computer Science and Biosciences,General,791 (7383),B) Outside Delhi Region,Round 4
Computer Science and Design,General,392 (4674),B) Outside Delhi Region,Round 4
Computer Science and Engineering,General,-,B) Outside Delhi Region,Round 4
Computer Science and Social Sciences,General,659 (6587),B) Outside Delhi Region,Round 4
Electronics and Communication Engineering,General,797 (7401),B) Outside Delhi Region,Round 4
Electronics and VLSI Engineering,General,1046 (8914),B) Outside Delhi Region,Round 4
Computer Science and Applied Mathematics,General,1967 (14725),A) Delhi Region,Round 5
Computer Science and Artificial Intelligence,General,972 (8416),A) Delhi Region,Round 5
Computer Science and Biosciences,General,3506 (23771),A) Delhi Region,Round 5
Computer Science and Design,General,2494 (17905),A) Delhi Region,Round 5
Computer Science and Engineering,General,1493 (11874),A) Delhi Region,Round 5
Computer Science and Social Sciences,General,3331 (22859),A) Delhi Region,Round 5
Electronics and Communication Engineering,General,3996 (26762),A) Delhi Region,Round 5
Electronics and VLSI Engineering,General,4595 (30593),A) Delhi Region,Round 5
Computer Science and Applied Mathematics,General,509 (5489),B) Outside Delhi Region,Round 5
Computer Science and Artificial Intelligence,General,-,B) Outside Delhi Region,Round 5
Computer Science and Biosciences,General,950 (8304),B) Outside Delhi Region,Round 5
Computer Science and Design,General,810 (7454),B) Outside Delhi Region,Round 5
Computer Science and Engineering,General,-,B) Outside Delhi Region,Round 5
Computer Science and Social Sciences,General,882 (7896),B) Outside Delhi Region,Round 5
Electronics and Communication Engineering,General,1014 (8670),B) Outside Delhi Region,Round 5
Electronics and VLSI Engineering,General,1232 (10141),B) Outside Delhi Region,Round 5
Computer Science and Applied Mathematics,General,14725,A) Delhi Region,Upgradation Round
Computer Science and Artificial Intelligence,General,8514,A) Delhi Region,Upgradation Round
Computer Science and Biosciences,General,23874,A) Delhi Region,Upgradation Round
Computer Science and Design,General,17905,A) Delhi Region,Upgradation Round
Computer Science and Engineering,General,11874,A) Delhi Region,Upgradation Round
Computer Science and Social Sciences,General,23404,A) Delhi Region,Upgradation Round
Electronics and Communication Engineering,General,26955,A) Delhi Region,Upgradation Round
Electronics and VLSI Engineering,General,31093,A) Delhi Region,Upgradation Round
Computer Science and Applied Mathematics,General,10850,B) Outside Delhi Region,Upgradation Round
Computer Science and Artificial Intelligence,General,3255,B) Outside Delhi Region,Upgradation Round
Computer Science and Biosciences,General,14172,B) Outside Delhi Region,Upgradation Round
Computer Science and Design,General,13548,B) Outside Delhi Region,Upgradation Round
Computer Science and Engineering,General,4674,B) Outside Delhi Region,Upgradation Round
Computer Science and Social Sciences,General,13976,B) Outside Delhi Region,Upgradation Round
Electronics and Communication Engineering,General,23141,B) Outside Delhi Region,Upgradation Round
Electronics and VLSI Engineering,General,23469,B) Outside Delhi Region,Upgradation Round
Computer Science and Applied Mathematics,General,-,A) Delhi Region,Spot Round
Computer Science and Artificial Intelligence,General,9 (7529),A) Delhi Region,Spot Round
Computer Science and Biosciences,General,1951 (26124),A) Delhi Region,Spot Round
Computer Science and Design,General,1093 (20842),A) Delhi Region,Spot Round
Computer Science and Engineering,General,426 (16472),A) Delhi Region,Spot Round
Computer Science and Social Sciences,General,1607 (23984),A) Delhi Region,Spot Round
Electronics and Communication Engineering,General,1460 (23081),A) Delhi Region,Spot Round
Electronics and VLSI Engineering,General,2688 (30767),A) Delhi Region,Spot Round
Computer Science and Applied Mathematics,General,33 (12110),B) Outside Delhi Region,Spot Round
Computer Science and Artificial Intelligence,General,18 (10034),B) Outside Delhi Region,Spot Round
Computer Science and Biosciences,General,-,B) Outside Delhi Region,Spot Round
Computer Science and Design,General,22 (11373),B) Outside Delhi Region,Spot Round
Computer Science and Engineering,General,17 (10012),B) Outside Delhi Region,Spot Round
Computer Science and Social Sciences,General,-,B) Outside Delhi Region,Spot Round
Electronics and Communication Engineering,General,144 (14073),B) Outside Delhi Region,Spot Round
Electronics and VLSI Engineering,General,281 (15155),B) Outside Delhi Region,Spot Round
Computer Science and Applied Mathematics,General,1093 (20842),A) Delhi Region,Round 1
Computer Science and Artificial Intelligence,General,426 (16472),A) Delhi Region,Round 1
Computer Science and Biosciences,General,-,A) Delhi Region,Round 1
Computer Science and Design,General,1610 (24174),A) Delhi Region,Round 1
Computer Science and Engineering,General,99 (13485),A) Delhi Region,Round 1
Computer Science and Social Sciences,General,1951 (26124),A) Delhi Region,Round 1
Electronics and Communication Engineering,General,3288 (34274),A) Delhi Region,Round 1
Electronics and VLSI Engineering,General,3446 (35085),A) Delhi Region,Round 1
Computer Science and Applied Mathematics,General,33 (12110),B) Outside Delhi Region,Round 1
Computer Science and Artificial Intelligence,General,22 (11373),B) Outside Delhi Region,Round 1
Computer Science and Biosciences,General,-,B) Outside Delhi Region,Round 1
Computer Science and Design,General,-,B) Outside Delhi Region,Round 1
Computer Science and Engineering,General,19 (10334),B) Outside Delhi Region,Round 1
Computer Science and Social Sciences,General,-,B) Outside Delhi Region,Round 1
Electronics and Communication Engineering,General,144 (14073),B) Outside Delhi Region,Round 1
Electronics and VLSI Engineering,General,-,B) Outside Delhi Region,Round 1
Computer Science and Applied Mathematics,General,1105 (20842),A) Delhi Region,Round 2
Computer Science and Artificial Intelligence,General,431 (16472),A) Delhi Region,Round 2
Computer Science and Biosciences,General,-,A) Delhi Region,Round 2
Computer Science and Design,General,1632 (24174),A) Delhi Region,Round 2
Computer Science and Engineering,General,102 (13485),A) Delhi Region,Round 2
Computer Science and Social Sciences,General,1979 (26124),A) Delhi Region,Round 2
Electronics and Communication Engineering,General,3362 (34274),A) Delhi Region,Round 2
Electronics and VLSI Engineering,General,3524 (35085),A) Delhi Region,Round 2
Computer Science and Applied Mathematics,General,34 (12110),B) Outside Delhi Region,Round 2
Computer Science and Artificial Intelligence,General,23 (11373),B) Outside Delhi Region,Round 2
Computer Science and Biosciences,General,-,B) Outside Delhi Region,Round 2
Computer Science and Design,General,-,B) Outside Delhi Region,Round 2
Computer Science and Engineering,General,19 (10334),B) Outside Delhi Region,Round 2
Computer Science and Social Sciences,General,-,B) Outside Delhi Region,Round 2
Electronics and Communication Engineering,General,148 (14073),B) Outside Delhi Region,Round 2
Electronics and VLSI Engineering,General,-,B) Outside Delhi Region,Round 2
Computer Science and Applied Mathematics,General,1477 (23081),A) Delhi Region,Round 3
Computer Science and Artificial Intelligence,General,431 (16472),A) Delhi Region,Round 3
Computer Science and Biosciences,General,-,A) Delhi Region,Round 3
Computer Science and Design,General,1632 (24174),A) Delhi Region,Round 3
Computer Science and Engineering,General,102 (13485),A) Delhi Region,Round 3
Computer Science and Social Sciences,General,1979 (26124),A) Delhi Region,Round 3
Electronics and Communication Engineering,General,3362 (34274),A) Delhi Region,Round 3
Electronics and VLSI Engineering,General,3524 (35085),A) Delhi Region,Round 3
Computer Science and Applied Mathematics,General,34 (12110),B) Outside Delhi Region,Round 3
Computer Science and Artificial Intelligence,General,23 (11373),B) Outside Delhi Region,Round 3
Computer Science and Biosciences,General,-,B) Outside Delhi Region,Round 3
Computer Science and Design,General,-,B) Outside Delhi Region,Round 3
Computer Science and Engineering,General,19 (10334),B) Outside Delhi Region,Round 3
Computer Science and Social Sciences,General,-,B) Outside Delhi Region,Round 3
Electronics and Communication Engineering,General,148 (14073),B) Outside Delhi Region,Round 3
Electronics and VLSI Engineering,General,-,B) Outside Delhi Region,Round 3
Computer Science and Applied Mathematics,General,1866 (25437),A) Delhi Region,Round 4
Computer Science and Artificial Intelligence,General,9 (7529),A) Delhi Region,Round 4
Computer Science and Biosciences,General,3524 (35085),A) Delhi Region,Round 4
Computer Science and Design,General,1919 (25695),A) Delhi Region,Round 4
Computer Science and Engineering,General,1105 (20842),A) Delhi Region,Round 4
Computer Science and Social Sciences,General,-,A) Delhi Region,Round 4
Electronics and Communication Engineering,General,3974 (38034),A) Delhi Region,Round 4
Electronics and VLSI Engineering,General,-,A) Delhi Region,Round 4
Computer Science and Applied Mathematics,General,-,B) Outside Delhi Region,Round 4
Computer Science and Artificial Intelligence,General,148 (14073),B) Outside Delhi Region,Round 4
Computer Science and Biosciences,General,-,B) Outside Delhi Region,Round 4
Computer Science and Design,General,-,B) Outside Delhi Region,Round 4
Computer Science and Engineering,General,19 (10334),B) Outside Delhi Region,Round 4
Computer Science and Social Sciences,General,-,B) Outside Delhi Region,Round 4
Electronics and Communication Engineering,General,-,B) Outside Delhi Region,Round 4
Electronics and VLSI Engineering,General,-,B) Outside Delhi Region,Round 4
Computer Science and Applied Mathematics,General,25437,A) Delhi Region,Round 5
Computer Science and Artificial Intelligence,General,7529,A) Delhi Region,Round 5
Computer Science and Biosciences,General,35085,A) Delhi Region,Round 5
