Branch,Category,Jee_Rank,Region,Round
Artificial Intelligence and Machine Learning,GEN,54591,D,1
Computer Science and Engineering,GEN,43046,D,1
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,33507,D,1
Electronics and Communication Engineering,GEN,66857,D,1
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN,64080,D,1
Information Technology,GEN,48812,D,1
Mechanical and Automation Engineering,GEN,80991,D,1
Architecture,GEN,1958,D,1
B.Tech Mechanical and Automation Engineering + MBA,GEN,85227,D,1
Artificial Intelligence and Machine Learning,GEN,11868,OD,1
Computer Science and Engineering,GEN,8401,OD,1
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,10598,OD,1
Electronics and Communication Engineering,GEN,14384,OD,1
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN,15071,OD,1
Information Technology,GEN,11334,OD,1
Mechanical and Automation Engineering,GEN,21529,OD,1
Architecture,GEN,1058,OD,1
B.Tech Mechanical and Automation Engineering + MBA,GEN,24149,OD,1
Artificial Intelligence and Machine Learning,GEN,59174,D,2
Computer Science and Engineering,GEN,48237,D,2
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,37480,D,2
Electronics and Communication Engineering,GEN,77736,D,2
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN,74623,D,2
Information Technology,GEN,56825,D,2
Mechanical and Automation Engineering,GEN,97689,D,2
Architecture,GEN,4786,D,2
B.Tech Mechanical and Automation Engineering + MBA,GEN,102925,D,2
Artificial Intelligence and Machine Learning,GEN,15184,OD,2
Computer Science and Engineering,GEN,14060,OD,2
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,15071,OD,2
Electronics and Communication Engineering,GEN,18754,OD,2
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN,18324,OD,2
Information Technology,GEN,15291,OD,2
Mechanical and Automation Engineering,GEN,26524,OD,2
Architecture,GEN,1619,OD,2
B.Tech Mechanical and Automation Engineering + MBA,GEN,28325,OD,2
Artificial Intelligence and Machine Learning,GEN,59174,D,3
Computer Science and Engineering,GEN,48237,D,3
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,37480,D,3
Electronics and Communication Engineering,GEN,78724,D,3
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN,74623,D,3
Information Technology,GEN,56825,D,3
