Branch,Category,Jee_Rank,Region,Round
Computer Science and Engineering,GEN,4094,OD,U1
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,4008,OD,U1
Computer Science and Engineering with specialization in Data Science,GEN,6128,OD,U1
Electrical Engineering,GEN,19761,OD,U1
Electronics and Communication Engineering,GEN,22158,OD,U1
Electronics and Communication Engineering with specialization in Internet of Things,GEN,24635,OD,U1
Information Technology,GEN,7134,OD,U1
Information Technology with specialization in Network and Information Security,GEN,11475,OD,U1
Instrumentation and Control Engineering,GEN,15794,OD,U1
Mathematics and Computing,GEN,16791,OD,U1
Bio-Technology,GEN,208655,D,S
Computer Science and Engineering,GEN,9527,D,S
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,5218,D,S
Computer Science and Engineering with specialization in Data Science,GEN,11579,D,S
Electrical Engineering,GEN,49873,D,S
Electronics and Communication Engineering,GEN,31309,D,S
Electronics and Communication Engineering with specialization in Internet of Things,GEN,25403,D,S
Information Technology,GEN,15176,D,S
Information Technology with specialization in Network and Information Security,GEN,18434,D,S
Instrumentation and Control Engineering,GEN,65429,D,S
Mathematics and Computing,GEN,22142,D,S
Mechanical Engineering,GEN,94186,D,S
Bio-Technology,GEN,157958,OD,S
Computer Science and Engineering,GEN,4094,OD,S
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,4008,OD,S
Computer Science and Engineering with specialization in Data Science,GEN,6128,OD,S
Electrical Engineering,GEN,33575,OD,S
Electronics and Communication Engineering,GEN,28324,OD,S
Electronics and Communication Engineering with specialization in Internet of Things,GEN,26029,OD,S
Information Technology,GEN,7134,OD,S
Information Technology with specialization in Network and Information Security,GEN,11475,OD,S
Instrumentation and Control Engineering,GEN,41535,OD,S
Mathematics and Computing,GEN,16791,OD,S
Mechanical Engineering,GEN,68746,OD,S
Bio-Technology,GEN-DEF,166409,D,1
Computer Science and Engineering,GEN-DEF,146154,D,1
Computer Science and Engineering with specialization in Artificial Intelligence,GEN-DEF,227019,D,1
Computer Science and Engineering with specialization in Data Science,GEN-DEF,8777,D,1
Electrical Engineering,GEN-DEF,78153,D,1
Electronics and Communication Engineering,GEN-DEF,45034,D,1
Electronics and Communication Engineering with specialization in Internet of Things,GEN-DEF,42943,D,1
Information Technology,GEN-DEF,15522,D,1
Information Technology with specialization in Network and Information Security,GEN-DEF,15699,D,1
Instrumentation and Control Engineering,GEN-DEF,79018,D,1
Mathematics and Computing,GEN-DEF,22961,D,1
Mechanical Engineering,GEN-DEF,126612,D,1
Computer Science and Engineering,GEN-DEF,126385,OD,1
Computer Science and Engineering with specialization in Artificial Intelligence,GEN-DEF,29439,OD,1
Electrical Engineering,GEN-DEF,187771,OD,1
Instrumentation and Control Engineering,GEN-DEF,484534,OD,1
Bio-Technology,GEN-DEF,206648,D,2
Computer Science and Engineering,GEN-DEF,146154,D,2
Computer Science and Engineering with specialization in Artificial Intelligence,GEN-DEF,227019,D,2
Computer Science and Engineering with specialization in Data Science,GEN-DEF,15522,D,2
Electrical Engineering,GEN-DEF,104402,D,2
Electronics and Communication Engineering,GEN-DEF,53774,D,2
Electronics and Communication Engineering with specialization in Internet of Things,GEN-DEF,45034,D,2
Information Technology,GEN-DEF,15897,D,2
Information Technology with specialization in Network and Information Security,GEN-DEF,22961,D,2
Instrumentation and Control Engineering,GEN-DEF,127424,D,2
Mathematics and Computing,GEN-DEF,24946,D,2
Mechanical Engineering,GEN-DEF,150334,D,2
Computer Science and Engineering,GEN-DEF,126385,OD,2
Computer Science and Engineering with specialization in Artificial Intelligence,GEN-DEF,29439,OD,2
Electrical Engineering,GEN-DEF,291725,OD,2
Instrumentation and Control Engineering,GEN-DEF,484534,OD,2
Bio-Technology,GEN-DEF,206648,D,3
Computer Science and Engineering,GEN-DEF,146154,D,3
Computer Science and Engineering with specialization in Artificial Intelligence,GEN-DEF,227019,D,3
Computer Science and Engineering with specialization in Data Science,GEN-DEF,15522,D,3
Electrical Engineering,GEN-DEF,104402,D,3
Electronics and Communication Engineering,GEN-DEF,53774,D,3
Electronics and Communication Engineering with specialization in Internet of Things,GEN-DEF,45034,D,3
Information Technology,GEN-DEF,21945,D,3
Information Technology with specialization in Network and Information Security,GEN-DEF,22961,D,3
Instrumentation and Control Engineering,GEN-DEF,127424,D,3
Mathematics and Computing,GEN-DEF,24946,D,3
Mechanical Engineering,GEN-DEF,150334,D,3
Computer Science and Engineering,GEN-DEF,126385,OD,3
Computer Science and Engineering with specialization in Artificial Intelligence,GEN-DEF,29439,OD,3
Electrical Engineering,GEN-DEF,291725,OD,3
Instrumentation and Control Engineering,GEN-DEF,484534,OD,3
Bio-Technology,GEN-DEF,236115,D,4
Computer Science and Engineering,GEN-DEF,146154,D,4
Computer Science and Engineering with specialization in Artificial Intelligence,GEN-DEF,227019,D,4
Computer Science and Engineering with specialization in Data Science,GEN-DEF,15522,D,4
Electrical Engineering,GEN-DEF,104402,D,4
Electronics and Communication Engineering,GEN-DEF,53774,D,4
Electronics and Communication Engineering with specialization in Internet of Things,GEN-DEF,45034,D,4
Information Technology,GEN-DEF,22961,D,4
Information Technology with specialization in Network and Information Security,GEN-DEF,24946,D,4
Instrumentation and Control Engineering,GEN-DEF,127424,D,4
Mathematics and Computing,GEN-DEF,30799,D,4
Mechanical Engineering,GEN-DEF,150334,D,4
Computer Science and Engineering,GEN-DEF,126385,OD,4
Computer Science and Engineering with specialization in Artificial Intelligence,GEN-DEF,29439,OD,4
Electrical Engineering,GEN-DEF,93115,OD,4
Instrumentation and Control Engineering,GEN-DEF,484534,OD,4
Computer Science and Engineering,GEN-DEF,146154,D,U1
Computer Science and Engineering with specialization in Artificial Intelligence,GEN-DEF,227019,D,U1
Computer Science and Engineering with specialization in Data Science,GEN-DEF,15522,D,U1
Electrical Engineering,GEN-DEF,104402,D,U1
Electronics and Communication Engineering,GEN-DEF,53774,D,U1
Electronics and Communication Engineering with specialization in Internet of Things,GEN-DEF,45034,D,U1
Information Technology,GEN-DEF,22961,D,U1
Information Technology with specialization in Network and Information Security,GEN-DEF,24946,D,U1
Instrumentation and Control Engineering,GEN-DEF,127424,D,U1
Mathematics and Computing,GEN-DEF,30799,D,U1
Mechanical Engineering,GEN-DEF,195323,D,U1
Computer Science and Engineering,GEN-DEF,126385,OD,U1
Computer Science and Engineering with specialization in Artificial Intelligence,GEN-DEF,29439,OD,U1
Electrical Engineering,GEN-DEF,93115,OD,U1
Instrumentation and Control Engineering,GEN-DEF,484534,OD,U1
Computer Science and Engineering,GEN-DEF,146154,D,S
Computer Science and Engineering with specialization in Artificial Intelligence,GEN-DEF,227019,D,S
Computer Science and Engineering with specialization in Data Science,GEN-DEF,15522,D,S
Electrical Engineering,GEN-DEF,104402,D,S
Electronics and Communication Engineering,GEN-DEF,53774,D,S
Electronics and Communication Engineering with specialization in Internet of Things,GEN-DEF,45034,D,S
Information Technology,GEN-DEF,22961,D,S
Information Technology with specialization in Network and Information Security,GEN-DEF,24946,D,S
Instrumentation and Control Engineering,GEN-DEF,127424,D,S
Mathematics and Computing,GEN-DEF,30799,D,S
Mechanical Engineering,GEN-DEF,195323,D,S
Computer Science and Engineering,GEN-DEF,126385,OD,S
Computer Science and Engineering with specialization in Artificial Intelligence,GEN-DEF,29439,OD,S
Electrical Engineering,GEN-DEF,93115,OD,S
Instrumentation and Control Engineering,GEN-DEF,484534,OD,S
Bio-Technology,GEN-SGC,69862,D,1
Computer Science and Engineering,GEN-SGC,7915,D,1
Computer Science and Engineering with specialization in Artificial Intelligence,GEN-SGC,6108,D,1
Computer Science and Engineering with specialization in Data Science,GEN-SGC,8677,D,1
Electrical Engineering,GEN-SGC,50377,D,1
Electronics and Communication Engineering,GEN-SGC,27013,D,1
Electronics and Communication Engineering with specialization in Internet of Things,GEN-SGC,18269,D,1
Information Technology,GEN-SGC,10824,D,1
Information Technology with specialization in Network and Information Security,GEN-SGC,12564,D,1
Instrumentation and Control Engineering,GEN-SGC,58015,D,1
Mathematics and Computing,GEN-SGC,17830,D,1
Mechanical Engineering,GEN-SGC,70413,D,1
Bio-Technology,GEN-SGC,15129,OD,1
Computer Science and Engineering,GEN-SGC,2334,OD,1
Computer Science and Engineering with specialization in Artificial Intelligence,GEN-SGC,1024,OD,1
Electrical Engineering,GEN-SGC,10342,OD,1
Electronics and Communication Engineering,GEN-SGC,6436,OD,1
Electronics and Communication Engineering with specialization in Internet of Things,GEN-SGC,8324,OD,1
Information Technology,GEN-SGC,3382,OD,1
Information Technology with specialization in Network and Information Security,GEN-SGC,4557,OD,1
Instrumentation and Control Engineering,GEN-SGC,14064,OD,1
Mathematics and Computing,GEN-SGC,4856,OD,1
Mechanical Engineering,GEN-SGC,14646,OD,1
Bio-Technology,GEN-SGC,86136,D,2
Computer Science and Engineering,GEN-SGC,12238,D,2
Computer Science and Engineering with specialization in Artificial Intelligence,GEN-SGC,9871,D,2
Computer Science and Engineering with specialization in Data Science,GEN-SGC,13050,D,2
Electrical Engineering,GEN-SGC,57996,D,2
Electronics and Communication Engineering,GEN-SGC,34036,D,2
Electronics and Communication Engineering with specialization in Internet of Things,GEN-SGC,27013,D,2
Information Technology,GEN-SGC,14757,D,2
Information Technology with specialization in Network and Information Security,GEN-SGC,18677,D,2
Instrumentation and Control Engineering,GEN-SGC,66320,D,2
Mathematics and Computing,GEN-SGC,20553,D,2
Mechanical Engineering,GEN-SGC,83825,D,2
Bio-Technology,GEN-SGC,24635,OD,2
Computer Science and Engineering,GEN-SGC,3882,OD,2
Computer Science and Engineering with specialization in Artificial Intelligence,GEN-SGC,3546,OD,2
Electrical Engineering,GEN-SGC,13284,OD,2
Electronics and Communication Engineering,GEN-SGC,10342,OD,2
Electronics and Communication Engineering with specialization in Internet of Things,GEN-SGC,9657,OD,2
Information Technology,GEN-SGC,4872,OD,2
Information Technology with specialization in Network and Information Security,GEN-SGC,5527,OD,2
Instrumentation and Control Engineering,GEN-SGC,18316,OD,2
Mathematics and Computing,GEN-SGC,6130,OD,2
Mechanical Engineering,GEN-SGC,20072,OD,2
Bio-Technology,GEN-SGC,93903,D,3
Computer Science and Engineering,GEN-SGC,12238,D,3
Computer Science and Engineering with specialization in Artificial Intelligence,GEN-SGC,9871,D,3
Computer Science and Engineering with specialization in Data Science,GEN-SGC,13050,D,3
Electrical Engineering,GEN-SGC,57996,D,3
Electronics and Communication Engineering,GEN-SGC,34036,D,3
