Branch,Category,Jee_Rank,Region,Round
Computer Science and Engineering with specialization in Big Data Analytics,GEN,20540,D,1
Computer Science and Engineering with specialization in Internet of Things,GEN,22593,D,1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN,28819,D,1
Computer Science and Engineering with specialization in Big Data Analytics,GEN,3724,OD,1
Computer Science and Engineering with specialization in Internet of Things,GEN,4815,OD,1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN,5783,OD,1
Computer Science and Engineering with specialization in Big Data Analytics,GEN,25022,D,2
Computer Science and Engineering with specialization in Internet of Things,GEN,27965,D,2
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN,33714,D,2
Computer Science and Engineering with specialization in Big Data Analytics,GEN,5714,OD,2
Computer Science and Engineering with specialization in Internet of Things,GEN,6416,OD,2
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN,7178,OD,2
Computer Science and Engineering with specialization in Big Data Analytics,GEN,25349,D,3
Computer Science and Engineering with specialization in Internet of Things,GEN,27965,D,3
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN,35190,D,3
Computer Science and Engineering with specialization in Big Data Analytics,GEN,6373,OD,3
Computer Science and Engineering with specialization in Internet of Things,GEN,7059,OD,3
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN,8331,OD,3
Computer Science and Engineering with specialization in Big Data Analytics,GEN,27506,D,4
Computer Science and Engineering with specialization in Internet of Things,GEN,28819,D,4
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN,35769,D,4
Computer Science and Engineering with specialization in Big Data Analytics,GEN,7337,OD,4
Computer Science and Engineering with specialization in Internet of Things,GEN,7658,OD,4
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN,9434,OD,4
Computer Science and Engineering with specialization in Big Data Analytics,GEN,32224,D,5
Computer Science and Engineering with specialization in Internet of Things,GEN,35521,D,5
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN,46984,D,5
Computer Science and Engineering with specialization in Big Data Analytics,GEN,8194,OD,5
Computer Science and Engineering with specialization in Internet of Things,GEN,9676,OD,5
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN,10196,OD,5
Computer Science and Engineering with specialization in Big Data Analytics,GEN,32668,D,U1
Computer Science and Engineering with specialization in Internet of Things,GEN,39066,D,U1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN,55696,D,U1
Computer Science and Engineering with specialization in Big Data Analytics,GEN,19931,OD,U1
Computer Science and Engineering with specialization in Internet of Things,GEN,25849,OD,U1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN,-,OD,U1
Computer Science and Engineering with specialization in Big Data Analytics,GEN,32668,D,S
Computer Science and Engineering with specialization in Internet of Things,GEN,39066,D,S
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN,55696,D,S
Computer Science and Engineering with specialization in Big Data Analytics,GEN,19931,OD,S
Computer Science and Engineering with specialization in Internet of Things,GEN,25849,OD,S
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN,37013,OD,S
Computer Science and Engineering with specialization in Big Data Analytics,GEN,33055,D,something bad happened
Computer Science and Engineering with specialization in Internet of Things,GEN,40179,D,something bad happened
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN,67645,D,something bad happened
Computer Science and Engineering with specialization in Big Data Analytics,GEN,27774,OD,something bad happened
Computer Science and Engineering with specialization in Internet of Things,GEN,29211,OD,something bad happened
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN,218568,OD,something bad happened
Computer Science and Engineering with specialization in Big Data Analytics,SpotRound-1,32668,D,something bad happened
Computer Science and Engineering with specialization in Internet of Things,SpotRound-1,39066,D,something bad happened
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,SpotRound-1,55696,D,something bad happened
Computer Science and Engineering with specialization in Big Data Analytics,SpotRound-1,19931,OD,something bad happened
Computer Science and Engineering with specialization in Internet of Things,SpotRound-1,25849,OD,something bad happened
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,SpotRound-1,37013,OD,something bad happened
Computer Science and Engineering with specialization in Big Data Analytics,SpotRound-2,33055,D,something bad happened
Computer Science and Engineering with specialization in Internet of Things,SpotRound-2,40179,D,something bad happened
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,SpotRound-2,67645,D,something bad happened
Computer Science and Engineering with specialization in Big Data Analytics,SpotRound-2,27774,OD,something bad happened
Computer Science and Engineering with specialization in Internet of Things,SpotRound-2,29211,OD,something bad happened
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,SpotRound-2,218568,OD,something bad happened
Computer Science and Engineering with specialization in Big Data Analytics,GEN-DEF,231842,D,1
Computer Science and Engineering with specialization in Internet of Things,GEN-DEF,27507,D,1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN-DEF,48401,D,1
Computer Science and Engineering with specialization in Big Data Analytics,GEN-DEF,-,OD,1
Computer Science and Engineering with specialization in Internet of Things,GEN-DEF,-,OD,1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN-DEF,61897,OD,1
Computer Science and Engineering with specialization in Big Data Analytics,GEN-DEF,231842,D,2
